"Chemical","Concentration","Concentration_units","avg","sd","sem","n"
"AITC",0.5,"mM",0.925,0.0957427107756338,0.0478713553878169,4
"AITC",10,"mM",0.025,0.05,0.025,4
"Cinnamaldehyde",0,"mM",0.975,0.05,0.025,4
"Cinnamaldehyde",1,"mM",1,0,0,4
"Cinnamaldehyde",10,"mM",0.7,0.350509832753866,0.123923939806411,8
"Cinnamaldehyde",50,"mM",0.225,0.170782512765993,0.0853912563829966,4
"Cinnamaldehyde",100,"mM",0.2,0,0,4
"Eugenol",0,"mM",1,0,0,4
"Eugenol",10,"mM",0.975,0.05,0.025,4
"Eugenol",20,"mM",0.875,0.05,0.025,4
"Eugenol",50,"mM",0.375,0.330403793359983,0.165201896679992,4
"Eugenol",100,"mM",0.2,0.216024689946929,0.108012344973464,4
"NaCl",0,"M",0.95,0.1,0.05,4
"NaCl",0.25,"M",0.458333333333333,0.116666666666667,0.0583333333333333,4
"NaCl",0.5,"M",0.325,0.0957427107756338,0.0478713553878169,4
"NaCl",0.75,"M",0.125,0.125830573921179,0.0629152869605896,4
